[2026-03-11 23:49:02.415] [info] [heaven] successful received.
[2026-03-11 23:49:02.415] [info] [heaven] read_thread started.
[2026-03-11 23:49:02.418] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.421] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.427] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.433] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.439] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.445] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.451] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.457] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.463] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.469] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.475] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.481] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.487] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.493] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.499] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.505] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.511] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.517] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.523] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.529] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.535] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.541] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.547] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.553] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.559] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.565] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.571] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.577] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.583] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.589] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.596] [debug] [heaven] CRC16 check failed.
[2026-03-11 23:49:02.601] [debug] [heaven] CRC16 check failed.
