[2026-03-13 21:26:58.916] [info] [heaven] successful received.
[2026-03-13 21:26:58.916] [info] [heaven] read_thread started.
[2026-03-13 21:26:58.916] [info] 串口初始化成功
[2026-03-13 21:26:59.696] [info] Mindvision opened.
[2026-03-13 21:26:59.696] [info] 相机初始化成功
[2026-03-13 21:26:59.915] [debug] 显示图像大小: 640x512
[2026-03-13 21:26:59.925] [debug] 显示图像大小: 640x512
[2026-03-13 21:26:59.957] [debug] 显示图像大小: 640x512
[2026-03-13 21:26:59.980] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.006] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.025] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.054] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.076] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.095] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.105] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.127] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.147] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.166] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.182] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.193] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.205] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.221] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.234] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.248] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.260] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.273] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.287] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.300] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.313] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.325] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.340] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.355] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.368] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.382] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.395] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.408] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.426] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.441] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.458] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.474] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.490] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.504] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.518] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.532] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.546] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.561] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.575] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.590] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.603] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.616] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.631] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.644] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.658] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.676] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.695] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.710] [debug] 显示图像大小: 640x512
[2026-03-13 21:27:00.723] [debug] 显示图像大小: 640x512
