[2026-03-13 21:20:12.913] [info] [heaven] successful received.
[2026-03-13 21:20:12.913] [info] [heaven] read_thread started.
[2026-03-13 21:20:12.913] [info] 串口初始化成功
[2026-03-13 21:20:13.675] [info] Mindvision opened.
[2026-03-13 21:20:13.675] [info] 相机初始化成功
[2026-03-13 21:20:13.873] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.881] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.900] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.912] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.924] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.935] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.948] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.959] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.974] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.985] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:13.998] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.011] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.024] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.037] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.049] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.061] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.071] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.081] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.092] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.106] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.121] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.132] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.143] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.154] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.165] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.176] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.188] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.199] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.211] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.224] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.238] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.250] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.263] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.275] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.287] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.299] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.312] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.323] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.335] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.348] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.361] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.373] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.384] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.397] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.409] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.421] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.434] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.447] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.459] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.470] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.481] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.494] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.506] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.519] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.533] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.545] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.561] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.574] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.589] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.602] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.617] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.631] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.646] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.662] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.677] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.691] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.704] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.718] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.732] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.746] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.760] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.775] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.789] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.800] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.812] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.824] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.838] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.850] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.862] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.878] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.892] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.907] [debug] 显示图像大小: 640x512
[2026-03-13 21:20:14.923] [debug] 显示图像大小: 640x512
